2025-10-07 10:46:14.243 +01:00 [INF] HTTP GET /api/notifications responded 200 in 1.2076 ms
2025-10-07 10:47:35.179 +01:00 [INF] Starting BuildOne Asset Management System
2025-10-07 10:47:36.676 +01:00 [INF] Database initialized successfully
2025-10-07 10:47:36.680 +01:00 [INF] BuildOne started successfully
2025-10-07 10:47:58.151 +01:00 [WRN] Failed to determine the https port for redirect.
2025-10-07 10:47:58.743 +01:00 [INF] HTTP GET /Imaging/Queue responded 200 in 594.6765 ms
2025-10-07 10:47:59.223 +01:00 [INF] HTTP GET /api/notifications responded 200 in 58.0789 ms
2025-10-07 10:48:04.553 +01:00 [INF] HTTP GET /Imaging/Queue responded 200 in 270.0462 ms
2025-10-07 10:48:04.715 +01:00 [INF] HTTP GET /api/notifications responded 200 in 4.6314 ms
2025-10-07 10:48:13.013 +01:00 [INF] Asset Management Dashboard accessed
2025-10-07 10:48:13.135 +01:00 [INF] HTTP GET / responded 200 in 185.2263 ms
2025-10-07 10:48:13.297 +01:00 [INF] HTTP GET /api/notifications responded 200 in 1.0191 ms
2025-10-07 10:48:17.246 +01:00 [INF] HTTP GET /Imaging/Queue responded 200 in 29.4309 ms
2025-10-07 10:48:17.393 +01:00 [INF] HTTP GET /api/notifications responded 200 in 0.7752 ms
2025-10-07 10:48:47.417 +01:00 [INF] HTTP GET /Imaging/Queue responded 200 in 13.3899 ms
2025-10-07 10:48:47.573 +01:00 [INF] HTTP GET /api/notifications responded 200 in 1.6029 ms
2025-10-07 10:49:17.873 +01:00 [INF] HTTP GET /Imaging/Queue responded 200 in 34.6333 ms
2025-10-07 10:49:19.317 +01:00 [INF] HTTP GET /api/notifications responded 200 in 0.5641 ms
2025-10-07 10:49:32.145 +01:00 [INF] HTTP GET /api/notifications responded 200 in 0.8797 ms
2025-10-07 10:49:42.468 +01:00 [INF] HTTP GET /api/notifications responded 200 in 1.0983 ms
2025-10-07 10:49:42.676 +01:00 [INF] HTTP GET /.well-known/appspecific/com.chrome.devtools.json responded 404 in 3.1168 ms
2025-10-07 10:49:49.348 +01:00 [INF] HTTP GET /Imaging/Queue responded 200 in 20.6234 ms
2025-10-07 10:49:49.783 +01:00 [INF] HTTP GET /api/notifications responded 200 in 0.9893 ms
2025-10-07 10:49:50.660 +01:00 [INF] HTTP GET /.well-known/appspecific/com.chrome.devtools.json responded 404 in 1.4830 ms
2025-10-07 10:50:19.809 +01:00 [INF] HTTP GET /Imaging/Queue responded 200 in 22.0976 ms
2025-10-07 10:50:20.352 +01:00 [INF] HTTP GET /api/notifications responded 200 in 1.1028 ms
2025-10-07 10:50:21.416 +01:00 [INF] HTTP GET /.well-known/appspecific/com.chrome.devtools.json responded 404 in 1.6077 ms
2025-10-07 10:50:41.505 +01:00 [INF] HTTP GET /api/notifications responded 200 in 1.7643 ms
2025-10-07 10:50:50.932 +01:00 [INF] HTTP GET /Imaging/Queue responded 200 in 50.5874 ms
2025-10-07 10:50:53.257 +01:00 [INF] HTTP GET /api/notifications responded 200 in 0.9953 ms
2025-10-07 10:50:54.244 +01:00 [INF] HTTP GET /.well-known/appspecific/com.chrome.devtools.json responded 404 in 0.7394 ms
2025-10-07 10:51:00.205 +01:00 [INF] HTTP GET /api/notifications responded 200 in 1.2991 ms
2025-10-07 10:51:23.867 +01:00 [INF] HTTP GET /Imaging/Queue responded 200 in 16.8370 ms
2025-10-07 10:51:25.543 +01:00 [INF] HTTP GET /api/notifications responded 200 in 0.7649 ms
2025-10-07 10:51:55.895 +01:00 [INF] HTTP GET /Imaging/Queue responded 200 in 34.4678 ms
2025-10-07 10:51:57.134 +01:00 [INF] HTTP GET /api/notifications responded 200 in 0.6425 ms
2025-10-07 10:52:27.875 +01:00 [INF] HTTP GET /Imaging/Queue responded 200 in 12.1822 ms
2025-10-07 10:52:29.224 +01:00 [INF] HTTP GET /api/notifications responded 200 in 0.8703 ms
2025-10-07 10:52:59.915 +01:00 [INF] HTTP GET /Imaging/Queue responded 200 in 42.2758 ms
2025-10-07 10:53:01.195 +01:00 [INF] HTTP GET /api/notifications responded 200 in 2.9667 ms
2025-10-07 10:53:31.878 +01:00 [INF] HTTP GET /Imaging/Queue responded 200 in 5.2730 ms
2025-10-07 10:53:33.214 +01:00 [INF] HTTP GET /api/notifications responded 200 in 0.5211 ms
2025-10-07 10:54:23.431 +01:00 [INF] Starting BuildOne Asset Management System
2025-10-07 10:54:24.652 +01:00 [INF] Database initialized successfully
2025-10-07 10:54:24.655 +01:00 [INF] BuildOne started successfully
2025-10-07 10:54:47.483 +01:00 [WRN] Failed to determine the https port for redirect.
2025-10-07 10:54:47.811 +01:00 [INF] HTTP GET /Imaging/Queue responded 200 in 328.3258 ms
2025-10-07 10:54:49.382 +01:00 [INF] HTTP GET /api/notifications responded 200 in 47.0343 ms
2025-10-07 10:54:52.289 +01:00 [INF] HTTP GET /Imaging/Details responded 200 in 204.9472 ms
2025-10-07 10:54:52.439 +01:00 [INF] HTTP GET /api/notifications responded 200 in 4.1311 ms
2025-10-07 10:55:13.363 +01:00 [INF] HTTP GET /api/notifications responded 200 in 1.9247 ms
2025-10-07 10:55:19.386 +01:00 [INF] HTTP GET /Imaging/Queue responded 200 in 37.1080 ms
2025-10-07 10:55:19.552 +01:00 [INF] HTTP GET /api/notifications responded 200 in 1.0539 ms
2025-10-07 10:55:49.875 +01:00 [INF] HTTP GET /Imaging/Queue responded 200 in 15.0850 ms
2025-10-07 10:55:51.130 +01:00 [INF] HTTP GET /api/notifications responded 200 in 0.5972 ms
2025-10-07 10:56:21.902 +01:00 [INF] HTTP GET /Imaging/Queue responded 200 in 33.5121 ms
2025-10-07 10:56:24.211 +01:00 [INF] HTTP GET /api/notifications responded 200 in 1.2539 ms
2025-10-07 10:56:54.888 +01:00 [INF] HTTP GET /Imaging/Queue responded 200 in 16.4297 ms
2025-10-07 10:56:56.194 +01:00 [INF] HTTP GET /api/notifications responded 200 in 1.0055 ms
2025-10-07 11:06:39.257 +01:00 [INF] Starting BuildOne Asset Management System
2025-10-07 11:06:39.412 +01:00 [FTL] Application failed to start
Microsoft.Extensions.Hosting.HostAbortedException: The host was aborted.
   at Microsoft.Extensions.Hosting.HostFactoryResolver.HostingListener.ThrowHostAborted()
   at Microsoft.Extensions.Hosting.HostFactoryResolver.HostingListener.OnNext(KeyValuePair`2 value)
   at System.Diagnostics.DiagnosticListener.Write(String name, Object value)
   at Microsoft.Extensions.Hosting.HostBuilder.ResolveHost(IServiceProvider serviceProvider, DiagnosticListener diagnosticListener)
   at Microsoft.Extensions.Hosting.HostApplicationBuilder.Build()
   at Microsoft.AspNetCore.Builder.WebApplicationBuilder.Build()
   at Program.<Main>$(String[] args) in C:\Users\victo\Desktop\buildone\Program.cs:line 204
2025-10-07 11:10:47.840 +01:00 [INF] Starting BuildOne Asset Management System
2025-10-07 11:10:48.006 +01:00 [FTL] Application failed to start
Microsoft.Extensions.Hosting.HostAbortedException: The host was aborted.
